,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,75328.1098761258,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
1,60.0,0.0,0.0,75297.04896689666,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
2,120.0,0.0,0.0,75265.98805766752,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
3,180.0,0.0,0.0,75234.92714843838,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
4,240.0,0.0,0.0,75203.86623920924,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
5,300.0,0.0,0.0,75172.8053299801,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
6,360.0,0.0,0.0,75141.74442075095,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
7,420.0,0.0,0.0,75110.68351152181,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
8,480.0,0.0,0.0,75079.62260229267,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
9,540.0,0.0,0.0,75048.56169306353,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
10,540.0,10.668000000000001,0.0,74966.16169306354,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:takeoff
11,540.0,10.668000000000001,0.0,74966.16169306354,79.3,79.2593976814894,0.23306096703307572,2,1.4227519205552466,0.11361844639480208,58709.12623565776,53068.90891708,0.25,False,9.75489850930377e-06,0.18352767307099938,0.0,MTOW_mission:takeoff
12,540.2,13.562436220276133,15.593647391382088,74965.67990709512,79.31102147294622,79.2593976814894,0.23310097064948732,1,1.4227427769376944,0.11361725610672976,58708.51118788241,193583.2807200939,1.0,False,1.2441388652098548e-05,0.18346260500018574,0.0,MTOW_mission:main_route:initial_climb
13,540.4000000000001,16.456259926699033,31.189650387003567,74965.19821812873,79.32204286465895,79.2593976814894,0.23314097527728084,1,1.4227336351611044,0.11361606607099177,58707.89627049367,193533.98272389805,1.0,False,1.2442052482218277e-05,0.1833975625447658,0.0,MTOW_mission:main_route:initial_climb
14,540.6000000000001,19.34947122156754,46.78800888308132,74964.7166261347,79.33306417470527,79.2593976814894,0.23318098091471703,1,1.4227244952249125,0.11361487628750687,58707.281483449624,193484.70446587232,1.0,False,1.2442716146977395e-05,0.18333254568809648,0.0,MTOW_mission:main_route:initial_climb
15,540.8000000000002,22.242070207088375,62.388722775813406,74964.2351310834,79.34408540265198,79.2593976814894,0.2332209875600556,1,1.422715357128556,0.11361368675619427,58706.666826708526,193435.445933152,1.0,False,1.2443379646417777e-05,0.18326755441355336,0.0,MTOW_mission:main_route:initial_climb
16,541.0000000000002,25.13405698537629,77.99179196137895,74963.75373294525,79.35510654806554,79.2593976814894,0.23326099521155472,1,1.4227062208714751,0.11361249747697341,58706.05230022869,193386.2071128873,1.0,False,1.2444042980581252e-05,0.18320258870453124,0.0,MTOW_mission:main_route:initial_climb
17,541.2000000000003,28.02543165845421,93.59721633593797,74963.27243169061,79.36612761051214,79.2593976814894,0.23330100386747152,1,1.4226970864531066,0.1136113084497633,58705.4379039683,193336.98799224314,1.0,False,1.2444706149509609e-05,0.18313764854444434,0.0,MTOW_mission:main_route:initial_climb
18,541.4000000000003,30.91619432825338,109.20499579563125,74962.79122728993,79.37714858955768,79.2593976814894,0.23334101352606193,1,1.4226879538728898,0.11361011967448335,58704.8236378857,193287.78855839887,1.0,False,1.2445369153244631e-05,0.18307273391672566,0.0,MTOW_mission:main_route:initial_climb
19,541.6000000000004,33.80634509661351,124.81513023658017,74962.31011971364,79.38816948476781,79.2593976814894,0.23338102418558057,1,1.4226788231302623,0.1136089311510527,58704.20950193914,193238.60879854852,1.0,False,1.2446031991828051e-05,0.18300784480482743,0.0,MTOW_mission:main_route:initial_climb
20,541.8000000000004,36.69588406528293,140.42761955488663,74961.82910893222,79.39919029570775,79.2593976814894,0.23342103584428067,1,1.4226696942246648,0.11360774287939092,58703.595496087044,193189.4486999009,1.0,False,1.2446694665301582e-05,0.18294298119222094,0.0,MTOW_mission:main_route:initial_climb
21,542.0000000000005,39.584811335918715,156.04246364663283,74961.3481949161,79.41021102194256,79.2593976814894,0.23346104850041444,1,1.4226605671555368,0.11360655485941737,58702.98162028772,193140.30824967913,1.0,False,1.2447357173706897e-05,0.18287814306239644,0.0,MTOW_mission:main_route:initial_climb
22,542.2000000000005,42.47312701008684,171.65966240788114,74960.86737763582,79.42123166303692,79.2593976814894,0.23350106215223276,1,1.4226514419223186,0.11360536709105162,58702.36787449962,193091.1874351209,1.0,False,1.244801951708565e-05,0.182813330398863,0.0,MTOW_mission:main_route:initial_climb
23,542.4000000000005,45.36083118926234,187.27921573467404,74960.38665706187,79.43225221855529,79.2593976814894,0.2335410767979854,1,1.4226423185244483,0.11360417957421287,58701.75425868106,193042.08624347873,1.0,False,1.244868169547946e-05,0.1827485431851492,0.0,MTOW_mission:main_route:initial_climb
24,542.6000000000006,48.24792397482943,202.90112352303387,74959.90603316478,79.44327268806173,79.2593976814894,0.23358109243592046,1,1.4226331969613704,0.11360299230882122,58701.14077279061,192993.00466201946,1.0,False,1.2449343708929913e-05,0.18268378140480215,0.0,MTOW_mission:main_route:initial_climb
25,542.8000000000006,51.134405468081674,218.52538566896274,74959.42550591509,79.45429307112013,79.2593976814894,0.23362110906428554,1,1.4226240772325227,0.11360180529479587,58700.52741678667,192943.94267802432,1.0,False,1.2450005557478566e-05,0.1826190450413879,0.0,MTOW_mission:main_route:initial_climb
26,543.0000000000007,54.0202757702221,234.15200206844236,74958.94507528337,79.46531336729396,79.2593976814894,0.2336611266813262,1,1.422614959337348,0.1136006185320567,58699.91419062773,192894.90027878943,1.0,False,1.2450667241166945e-05,0.1825543340784919,0.0,MTOW_mission:main_route:initial_climb
27,543.2000000000007,56.90553498236337,249.78097261743397,74958.46474124018,79.4763335761465,79.2593976814894,0.23370114528528738,1,1.4226058432752873,0.11359943202052328,58699.30109427229,192845.87745162493,1.0,False,1.2451328760036552e-05,0.18248964849971783,0.0,MTOW_mission:main_route:initial_climb
28,543.4000000000008,59.790183205527924,265.4122972118781,74957.98450375615,79.48735369724069,79.2593976814894,0.23374116487441252,1,1.422596729045783,0.11359824576011551,58698.688127678935,192796.87418385563,1.0,False,1.2451990114128851e-05,0.18242498828868856,0.0,MTOW_mission:main_route:initial_climb
29,543.6000000000008,62.67422054064811,281.0459757476945,74957.50436280188,79.4983737301392,79.2593976814894,0.23378118544694396,1,1.4225876166482767,0.11359705975075304,58698.075290806184,192747.89046282097,1.0,False,1.2452651303485291e-05,0.1823603534290461,0.0,MTOW_mission:main_route:initial_climb
30,543.8000000000009,65.55764708856633,296.682008120782,74957.02431834799,79.50939367440436,79.2593976814894,0.23382120700112258,1,1.4225785060822118,0.11359587399235585,58697.46258361264,192698.92627587443,1.0,False,1.2453312328147263e-05,0.18229574390445077,0.0,MTOW_mission:main_route:initial_climb
31,544.0000000000009,68.4404629500352,312.32039422701826,74956.54437036515,79.52041352959822,79.2593976814894,0.23386122953518812,1,1.4225693973470321,0.11359468848484397,58696.850006056986,192649.98161038427,1.0,False,1.2453973188156154e-05,0.1822311596985821,0.0,MTOW_mission:main_route:initial_climb
32,544.200000000001,71.32266822571769,327.9611339622598,74956.06451882402,79.53143329528257,79.2593976814894,0.23390125304737924,1,1.4225602904421792,0.11359350322813712,58696.23755809775,192601.05645373295,1.0,False,1.2454633883553311e-05,0.18216660079513833,0.0,MTOW_mission:main_route:initial_climb
33,544.400000000001,74.20426301618726,343.60422722234176,74955.58476369527,79.54245297101892,79.2593976814894,0.23394127753593336,1,1.4225511853670973,0.11359231822215538,58695.62523969366,192552.15079331727,1.0,False,1.2455294414380054e-05,0.18210206717783628,0.0,MTOW_mission:main_route:initial_climb
34,544.600000000001,77.08524742192797,359.24967390307773,74955.10510494962,79.55347255636843,79.2593976814894,0.23398130299908648,1,1.4225420821212302,0.11359113346681876,58695.01305080337,192503.2646165486,1.0,False,1.2455954780677665e-05,0.18203755883041184,0.0,MTOW_mission:main_route:initial_climb
35,544.8000000000011,79.96562154333473,374.89747390025974,74954.62554255778,79.56449205089203,79.2593976814894,0.23402132943507356,1,1.4225329807040232,0.11358994896204752,58694.40099138565,192454.39791085225,1.0,False,1.245661498248741e-05,0.18197307573661897,0.0,MTOW_mission:main_route:initial_climb
36,545.0000000000011,82.84538548071332,390.5476271096579,74954.14607649049,79.57551145415027,79.2593976814894,0.23406135684212814,1,1.4225238811149195,0.11358876470776158,58693.78906139916,192405.55066366857,1.0,False,1.2457275019850512e-05,0.1819086178802317,0.0,MTOW_mission:main_route:initial_climb
