,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,80898.88172724603,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
1,60.0,0.0,0.0,80867.82081801689,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
2,120.0,0.0,0.0,80836.75990878775,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
3,180.0,0.0,0.0,80805.6989995586,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
4,240.0,0.0,0.0,80774.63809032946,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
5,300.0,0.0,0.0,80743.57718110032,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
6,360.0,0.0,0.0,80712.51627187118,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
7,420.0,0.0,0.0,80681.45536264204,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
8,480.0,0.0,0.0,80650.3944534129,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
9,540.0,0.0,0.0,80619.33354418376,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:taxi_out
10,540.0,3.2516064000000005,0.0,80536.93354418376,79.3,79.28762324553658,0.23304146961634414,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,op_mission:takeoff
11,540.0,3.2516064000000005,0.0,80536.93354418376,79.3,79.28762324553658,0.23304146961634414,2,1.7026927388698516,0.15797586375273848,73277.42842815552,53068.90891708,0.25,False,9.75489850930377e-06,0.15253480714204204,0.0,op_mission:takeoff
12,540.2,5.661438139949315,15.675851204484415,80536.45149666976,79.30917449723304,79.28762324553658,0.23307476655970003,1,1.7026825475356928,0.15797405992916938,73276.59172089315,193707.9611649877,1.0,False,1.2440550389366486e-05,0.15248476645181716,0.0,op_mission:main_route:initial_climb
13,540.4000000000001,8.070764157663692,31.35363658755653,80535.96952993942,79.31834862895585,79.28762324553658,0.23310806308152396,1,1.7026723579094425,0.15797225642679538,73275.75516261779,193666.89669540827,1.0,False,1.2441103208292525e-05,0.1524347439242894,0.0,op_mission:main_route:initial_climb
14,540.6000000000001,10.47958453928737,47.033356021846814,80535.48764396946,79.32752239486426,79.28762324553658,0.2331413591805239,1,1.7026621699906097,0.15797045324552017,73274.91875328476,193625.84730481048,1.0,False,1.244165589395983e-05,0.15238473954919754,0.0,op_mission:main_route:initial_climb
15,540.8000000000002,12.887899370910533,62.71500937996228,80535.0058387366,79.33669579465399,79.28762324553658,0.23317465485540698,1,1.7026519837787017,0.15796865038524696,73274.08249284912,193584.81298464263,1.0,False,1.2442208446400515e-05,0.15233475331629084,0.0,op_mission:main_route:initial_climb
16,541.0000000000002,15.295708738569404,78.39859653448646,80534.52411421755,79.34586882802073,79.28762324553658,0.2332079501048803,1,1.7026417992732252,0.15796684784587897,73273.24638126609,193543.79372636144,1.0,False,1.2442760865646692e-05,0.15228478521532868,0.0,op_mission:main_route:initial_climb
17,541.2000000000003,17.703012728246314,94.08411735797928,80534.04247038907,79.3550414946599,79.28762324553658,0.23324124492765003,1,1.7026316164736899,0.15796504562731994,73272.41041849092,193502.78952143205,1.0,False,1.2443313151730444e-05,0.15223483523608033,0.0,op_mission:main_route:initial_climb
18,541.4000000000003,20.10981142586978,109.77157172297709,80533.56090722792,79.36421379426695,79.28762324553658,0.23327453932242204,1,1.702621435379604,0.1579632437294734,73271.5746044789,193461.80036132757,1.0,False,1.2443865304683833e-05,0.15218490336832502,0.0,op_mission:main_route:initial_climb
19,541.6000000000004,22.51610491731457,125.46095950199248,80533.07942471086,79.37338572653717,79.28762324553658,0.2333078332879018,1,1.7026112559904758,0.1579614421522427,73270.73893918522,193420.82623752978,1.0,False,1.2444417324538907e-05,0.1521349896018524,0.0,op_mission:main_route:initial_climb
20,541.8000000000004,24.921893288401815,141.15228056751434,80532.59802281467,79.38255729116557,79.28762324553658,0.2333411268227937,1,1.7026010783058163,0.15795964089553197,73269.90342256534,193379.86714152907,1.0,False,1.2444969211327697e-05,0.15208509392646236,0.0,op_mission:main_route:initial_climb
21,542.0000000000005,27.327176624899042,156.8455347920077,80532.11670151613,79.39172848784732,79.28762324553658,0.2333744199258024,1,1.7025909023251324,0.15795783995924437,73269.06805457441,193338.9230648235,1.0,False,1.2445520965082206e-05,0.15203521633196443,0.0,op_mission:main_route:initial_climb
22,542.2000000000005,29.731955012520288,172.54072204791373,80531.63546079207,79.40089931627725,79.28762324553658,0.2334077125956315,1,1.7025807280479348,0.15795603934328387,73268.23283516786,193297.99399891993,1.0,False,1.2446072585834432e-05,0.15198535680817857,0.0,op_mission:main_route:initial_climb
23,542.4000000000005,32.13622853692616,188.23784220764963,80531.15430061927,79.41006977615018,79.28762324553658,0.23344100483098437,1,1.702570555473733,0.15795423904755423,73267.39776430109,193257.07993533337,1.0,False,1.2446624073616344e-05,0.15193551534493452,0.0,op_mission:main_route:initial_climb
24,542.6000000000006,34.53999728372391,203.93689514360864,80530.67322097457,79.41923986716075,79.28762324553658,0.23347429663056354,1,1.702560384602037,0.15795243907195922,73266.56284192938,193216.18086558714,1.0,False,1.2447175428459897e-05,0.15188569193207238,0.0,op_mission:main_route:initial_climb
25,542.8000000000006,36.943261338467536,219.63788072815984,80530.1922218348,79.42840958900354,79.28762324553658,0.2335075879930714,1,1.7025502154323577,0.1579506394164029,73265.72806800826,193175.29678121288,1.0,False,1.2447726650397024e-05,0.15183588655944202,0.0,op_mission:main_route:initial_climb
26,543.0000000000007,39.34602078665781,235.34079883364825,80529.71130317681,79.43757894137299,79.28762324553658,0.2335408789172097,1,1.7025400479642048,0.1579488400807889,73264.89344249308,193134.42767375038,1.0,False,1.2448277739459649e-05,0.15178609921690342,0.0,op_mission:main_route:initial_climb
27,543.2000000000007,41.74827571374241,251.04564933239465,80529.23046497746,79.44674792396339,79.28762324553658,0.23357416940167963,1,1.7025298821970891,0.15794704106502136,73264.05896533933,193093.57353474796,1.0,False,1.2448828695679664e-05,0.15173632989432673,0.0,op_mission:main_route:initial_climb
28,543.4000000000008,44.150026205115964,266.7524320966956,80528.74970721363,79.45591653646899,79.28762324553658,0.23360745944518205,1,1.7025197181305223,0.15794524236900434,73263.2246365025,193052.73435576187,1.0,False,1.2449379519088953e-05,0.1516865785815917,0.0,op_mission:main_route:initial_climb
29,543.6000000000008,46.55127234612014,282.46114699882327,80528.26902986219,79.46508477858382,79.28762324553658,0.23364074904641688,1,1.702509555764015,0.15794344399264187,73262.3904559381,193011.910128357,1.0,False,1.2449930209719377e-05,0.15163684526858864,0.0,op_mission:main_route:initial_climb
30,543.8000000000009,48.95201422204372,298.17179391102553,80527.78843290004,79.47425265000186,79.28762324553658,0.233674038204084,1,1.7024993950970795,0.15794164593583812,73261.55642360165,192971.10084410614,1.0,False,1.2450480767602777e-05,0.1515871299452174,0.0,op_mission:main_route:initial_climb
31,544.0000000000009,51.352251918122676,313.8843727055257,80527.30791630408,79.48342015041698,79.28762324553658,0.23370732691688267,1,1.702489236129227,0.15793984819849718,73260.72253944869,192930.30649459056,1.0,False,1.2451031192770983e-05,0.15153743260138805,0.0,op_mission:main_route:initial_climb
32,544.200000000001,53.751985519540234,329.5988832545227,80526.82748005124,79.49258727952288,79.28762324553658,0.23374061518351147,1,1.7024790788599689,0.15793805078052323,73259.88880343478,192889.5270713996,1.0,False,1.24515814852558e-05,0.1514877532270205,0.0,op_mission:main_route:initial_climb
33,544.400000000001,56.15121511142698,345.31532543019085,80526.34712411845,79.5017540370132,79.28762324553658,0.23377390300266862,1,1.7024689232888186,0.15793625368182068,73259.05521551553,192848.76256613096,1.0,False,1.2452131645089016e-05,0.15143809181204468,0.0,op_mission:main_route:initial_climb
34,544.600000000001,58.54994077886091,361.0336991046798,80525.86684848263,79.51092042258146,79.28762324553658,0.23380719037305192,1,1.7024587694152882,0.15793445690229377,73258.22177564657,192808.01297039023,1.0,False,1.2452681672302403e-05,0.15138844834640014,0.0,op_mission:main_route:initial_climb
35,544.8000000000011,60.94816260686751,376.75400415011444,80525.38665312076,79.52008643592103,79.28762324553658,0.23384047729335855,1,1.70244861723889,0.1579326604418468,73257.3884837835,192767.27827579164,1.0,False,1.2453231566927711e-05,0.15133882282003697,0.0,op_mission:main_route:initial_climb
36,545.0000000000011,63.34588068041986,392.4762404385951,80524.90653800977,79.52925207672517,79.28762324553658,0.23387376376228508,1,1.7024384667591363,0.1579308643003841,73256.55533988196,192726.55847395747,1.0,False,1.2453781328996674e-05,0.15128921522291494,0.0,op_mission:main_route:initial_climb
37,545.2000000000012,65.74309508443868,408.2004078421971,80524.42650312667,79.538417344687,79.28762324553658,0.23390704977852766,1,1.702428317975543,0.15792906847781055,73255.72234389775,192685.85355651806,1.0,False,1.2454330958541012e-05,0.1512396255450034,0.0,op_mission:main_route:initial_climb
38,545.4000000000012,68.1398059037924,423.92650623297095,80523.94654844842,79.54758223949962,79.28762324553658,0.23394033534078218,1,1.7024181708876207,0.1579272729740302,73254.88949578647,192645.16351511198,1.0,False,1.2454880455592414e-05,0.15119005377628203,0.0,op_mission:main_route:initial_climb
39,545.6000000000013,70.5360132232973,439.6545354829422,80523.46667395203,79.5567467608559,79.28762324553658,0.23397362044774367,1,1.702408025494885,0.15792547778894786,73254.05679550389,192604.48834138617,1.0,False,1.2455429820182564e-05,0.1511404999067403,0.0,op_mission:main_route:initial_climb
40,545.8000000000013,72.93171712771748,455.38449546411147,80522.98687961452,79.56591090844869,79.28762324553658,0.23400690509810693,1,1.7023978817968484,0.15792368292246795,73253.22424300571,192563.82802699524,1.0,False,1.2455979052343128e-05,0.15109096392637728,0.0,op_mission:main_route:initial_climb
41,546.0000000000014,75.32691770176503,471.1163860484542,80522.50716541288,79.57507468197068,79.28762324553658,0.23404018929056616,1,1.7023877397930258,0.15792188837449528,73252.39183824779,192523.18256360234,1.0,False,1.2456528152105742e-05,0.15104144582520207,0.0,op_mission:main_route:initial_climb
42,546.2000000000014,77.72161503010005,486.8502071079209,80522.02753132417,79.58423808111439,79.28762324553658,0.23407347302381487,1,1.7023775994829322,0.15792009414493458,73251.55958118587,192482.5519428789,1.0,False,1.2457077119502034e-05,0.150991945593234,0.0,op_mission:main_route:initial_climb
43,546.4000000000015,80.11580919733079,502.5859585144366,80521.54797732543,79.59340110557234,79.28762324553658,0.23410675629654645,1,1.7023674608660813,0.1579183002336904,73250.72747177574,192441.936156504,1.0,False,1.245762595456361e-05,0.1509424632205017,0.0,op_mission:main_route:initial_climb
44,546.6000000000015,82.50950028801364,518.3236401399013,80521.06850339372,79.60256375503685,79.28762324553658,0.23414003910745348,1,1.7023573239419882,0.15791650664066764,73249.89550997327,192401.3351961653,1.0,False,1.2458174657322057e-05,0.15089299869704398,0.0,op_mission:main_route:initial_climb
45,546.8000000000015,84.90268838665328,534.0632518561896,80520.58910950608,79.61172602920018,79.28762324553658,0.23417332145522834,1,1.7023471887101684,0.1579147133657712,73249.06369573434,192360.74905355825,1.0,False,1.2458723227808953e-05,0.15084355201290925,0.0,op_mission:main_route:initial_climb
46,547.0000000000016,87.2953735777027,549.8047935351508,80520.10979563961,79.62088792775441,79.28762324553658,0.23420660333856247,1,1.7023370551701371,0.1579129204089059,73248.2320290148,192320.1777203866,1.0,False,1.2459271666055842e-05,0.15079412315815596,0.0,op_mission:main_route:initial_climb
47,547.2000000000016,89.68755594556332,565.5482650486086,80519.6305617714,79.6300494503916,79.28762324553658,0.23423988475614738,1,1.7023269233214096,0.15791112776997662,73247.40050977057,192279.62118836216,1.0,False,1.2459819972094266e-05,0.1507447121228523,0.0,op_mission:main_route:initial_climb
