,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,79277.86795248349,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
1,60.0,0.0,0.0,79247.65094666755,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
2,120.0,0.0,0.0,79217.43394085161,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
3,180.0,0.0,0.0,79187.21693503567,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
4,240.0,0.0,0.0,79156.99992921973,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
5,300.0,0.0,0.0,79126.78292340379,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
6,360.0,0.0,0.0,79096.56591758785,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
7,420.0,0.0,0.0,79066.34891177191,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
8,480.0,0.0,0.0,79036.13190595598,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
9,540.0,0.0,0.0,79005.91490014004,0.0,0.0,0.0,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:taxi_out
10,540.0,10.668000000000001,0.0,78923.51490014004,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53816.83181747999,0.25,False,9.357978658181093e-06,0.0,0.0,MTOW_mission:takeoff
11,540.0,10.668000000000001,0.0,78923.51490014004,79.3,79.2593976814894,0.23306096703307572,2,1.5677605663156449,0.11686748420660753,57695.381947616865,53816.83181747999,0.25,False,9.357978658181093e-06,0.17780295132564714,0.0,MTOW_mission:takeoff
12,540.2,13.473119986822127,15.609961622615687,78923.04079560531,79.31068133973007,79.2593976814894,0.23309973608001783,1,1.5677511485597986,0.11686624763415666,57694.77147396508,195261.8603545342,1.0,False,1.213781462858402e-05,0.17774199966140083,0.0,MTOW_mission:main_route:initial_climb
13,540.4000000000001,16.277666223701942,31.22219680493648,78922.5667851523,79.32136260905892,79.2593976814894,0.23313850609828551,1,1.5677417326728198,0.11686501132091091,57694.161128278225,195213.2672445058,1.0,False,1.2138427020587538e-05,0.17768107122351093,0.0,MTOW_mission:main_route:initial_climb
14,540.6000000000001,19.08163880408436,46.83670545602056,78922.09286875272,79.33204380759722,79.2593976814894,0.2331772770863149,1,1.5677323186541476,0.1168637752667884,57693.55091051583,195164.692957706,1.0,False,1.2139039271448164e-05,0.17762016599741373,0.0,MTOW_mission:main_route:initial_climb
15,540.8000000000002,21.885037821333366,62.453487484905764,78921.61904637827,79.3427249349554,79.2593976814894,0.23321604904254106,1,1.5677229065032177,0.1168625394717068,57692.94082063734,195116.13748229377,1.0,False,1.2139651381199615e-05,0.17755928396856185,0.0,MTOW_mission:main_route:initial_climb
16,541.0000000000002,24.687863368732152,78.07254280060947,78921.1453180007,79.35340599074361,79.2593976814894,0.23325482196539796,1,1.5677134962194708,0.1168613039355845,57692.33085860239,195067.60080644093,1.0,False,1.2140263349875592e-05,0.17749842512242353,0.0,MTOW_mission:main_route:initial_climb
17,541.2000000000003,27.490115539483224,93.69387131212845,78920.67168359173,79.36408697457172,79.2593976814894,0.23329359585331844,1,1.5677040878023458,0.11686006865833956,57691.72102437052,195019.08291833248,1.0,False,1.2140875177509756e-05,0.17743758944448365,0.0,MTOW_mission:main_route:initial_climb
18,541.4000000000003,30.291794426708538,109.31747292843879,78920.19814312314,79.37476788604947,79.2593976814894,0.23333237070473462,1,1.567694681251279,0.11685883363988986,57691.11131790128,194970.58380616645,1.0,False,1.2141486864135763e-05,0.1773767769202432,0.0,MTOW_mission:main_route:initial_climb
19,541.6000000000004,33.092900123449624,124.94334755849574,78919.7246965667,79.3854487247861,79.2593976814894,0.23337114651807678,1,1.5676852765657128,0.11685759888015383,57690.5017391543,194922.10345815428,1.0,False,1.214209840978723e-05,0.17731598753521982,0.0,MTOW_mission:main_route:initial_climb
20,541.8000000000004,35.893432722667704,140.5714951112336,78919.25134389421,79.39612949039089,79.2593976814894,0.23340992329177504,1,1.567675873745085,0.11685636437904962,57689.892288089235,194873.64186251952,1.0,False,1.2142709814497754e-05,0.17725522127494608,0.0,MTOW_mission:main_route:initial_climb
21,542.0000000000005,38.69339231724383,156.2019154955656,78918.77808507749,79.40681018247258,79.2593976814894,0.23344870102425763,1,1.567666472788837,0.11685513013649557,57689.28296466575,194825.19900749976,1.0,False,1.2143321078300898e-05,0.177194478124972,0.0,MTOW_mission:main_route:initial_climb
22,542.2000000000005,41.49277899997898,171.8346086203838,78918.30492008835,79.41749080063984,79.2593976814894,0.23348747971395217,1,1.5676570736964088,0.11685389615240999,57688.67376884349,194776.77488134493,1.0,False,1.2143932201230215e-05,0.177133758070863,0.0,MTOW_mission:main_route:initial_climb
23,542.4000000000005,44.29159286359423,187.4695743945589,78917.83184889864,79.42817134450102,79.2593976814894,0.2335262593592851,1,1.56764767646724,0.1168526624267112,57688.06470058219,194728.36947231813,1.0,False,1.2144543183319226e-05,0.17707306109820084,0.0,MTOW_mission:main_route:initial_climb
24,542.6000000000006,47.089834000730825,203.10681272694023,78917.35887148023,79.43885181366423,79.2593976814894,0.2335650399586818,1,1.5676382811007732,0.11685142895931773,57687.455759841585,194679.98276869522,1.0,False,1.2145154024601422e-05,0.17701238719258292,0.0,MTOW_mission:main_route:initial_climb
25,542.8000000000006,49.88750250395032,218.74632352635558,78916.88598780498,79.44953220773724,79.2593976814894,0.23360382151056633,1,1.5676288875964492,0.11685019575014804,57686.846946581405,194631.61475876553,1.0,False,1.2145764725110277e-05,0.17695173633962366,0.0,MTOW_mission:main_route:initial_climb
26,543.0000000000007,52.684598465734744,234.388106701611,78916.4131978448,79.46021252632767,79.2593976814894,0.23364260401336207,1,1.5676194959537093,0.11684896279912059,57686.23826076143,194583.26543083083,1.0,False,1.214637528487924e-05,0.17689110852495268,0.0,MTOW_mission:main_route:initial_climb
27,543.2000000000007,55.481121978486655,250.03216216149082,78915.94050157159,79.47089276904289,79.2593976814894,0.2336813874654911,1,1.5676101061719954,0.11684773010615396,57685.62970234149,194534.93477320584,1.0,False,1.2146985703941728e-05,0.17683050373421572,0.0,MTOW_mission:main_route:initial_climb
