,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,70880.63535953572,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
1,60.0,0.0,0.0,70849.57445030658,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
2,120.0,0.0,0.0,70818.51354107744,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
3,180.0,0.0,0.0,70787.4526318483,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
4,240.0,0.0,0.0,70756.39172261916,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
5,300.0,0.0,0.0,70725.33081339001,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
6,360.0,0.0,0.0,70694.26990416087,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
7,420.0,0.0,0.0,70663.20899493173,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
8,480.0,0.0,0.0,70632.14808570259,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
9,540.0,0.0,0.0,70601.08717647345,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:taxi_out
10,540.0,10.668000000000001,0.0,70518.68717647345,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,MTOW_mission:takeoff
11,540.0,10.668000000000001,0.0,70518.68717647345,79.3,79.2593976814894,0.23306096703307572,2,1.5337878682870343,0.13121011099402333,59159.82745940811,53068.90891708,0.25,False,9.75489850930377e-06,0.19445067724772208,0.0,MTOW_mission:takeoff
12,540.2,13.732589640024155,15.561101835611154,70518.20539050504,79.31166945548654,79.2593976814894,0.2331033226121713,1,1.5337773893983448,0.13120856115636817,59159.12867081952,193580.38179841827,1.0,False,1.2441427685214993e-05,0.19437750921761057,0.0,MTOW_mission:main_route:initial_climb
13,540.4000000000001,16.796491501290532,31.124717799042884,70517.72370724076,79.32333881556876,79.2593976814894,0.23314567930931143,1,1.5337669127434788,0.13120701166709098,59158.430039307124,193528.18728968682,1.0,False,1.2442130528173658e-05,0.19430437172215695,0.0,MTOW_mission:main_route:initial_climb
14,540.6000000000001,19.859705703917868,46.690847760687404,70517.24212664732,79.33500807972497,79.2593976814894,0.23318803712240174,1,1.5337564383217135,0.13120546252607335,59157.73156481747,193476.01492586973,1.0,False,1.2442833185501766e-05,0.19423126474038763,0.0,MTOW_mission:main_route:initial_climb
