Nom;Description
data:TLAR:NPAX;top-level requirement: number of passengers, assuming a classic eco/business class repartition
data:TLAR:cruise_mach;top-level requirement: cruise Mach number
data:geometry:cabin:aisle_width;width of aisles
data:geometry:cabin:exit_width;width of exits
data:geometry:cabin:seats:economical:count_by_row;number of economical class seats along width
data:geometry:cabin:seats:economical:length;length of economical class seats
data:geometry:cabin:seats:economical:width;width of economical class seats
data:geometry:has_T_tail;0=horizontal tail is attached to fuselage / 1=horizontal tail is attached to top of vertical tail
data:geometry:horizontal_tail:MAC:at25percent:x:from_wingMAC25;distance along X between 25% MAC of wing and 25% MAC of horizontal tail
data:geometry:horizontal_tail:area;horizontal tail area
data:geometry:horizontal_tail:aspect_ratio;aspect ratio of horizontal tail
data:geometry:horizontal_tail:sweep_25;data:geometry:horizontal_tail:sweep_25
data:geometry:horizontal_tail:taper_ratio;taper ratio of horizontal tail
data:geometry:horizontal_tail:wetted_area;wetted area of horizontal tail
data:geometry:propulsion:engine:count;number of engines
data:geometry:propulsion:engine:y_ratio;engine position with respect to total span
data:geometry:propulsion:layout;position of engines (1=under the wing / 2=rear fuselage)
data:geometry:vertical_tail:area;vertical tail area
data:geometry:vertical_tail:aspect_ratio;aspect ratio of vertical tail
data:geometry:vertical_tail:sweep_25;sweep angle at 25% chord of vertical tail
data:geometry:vertical_tail:taper_ratio;taper ratio of vertical tail
data:geometry:vertical_tail:wetted_area;wetted area of vertical tail
data:geometry:wing:MAC:at25percent:x;X-position of the 25% of mean aerodynamic chord of wing w.r.t. aircraft nose (drives position of wing along fuselage)
data:geometry:wing:area;wing reference area
data:geometry:wing:aspect_ratio;wing aspect ratio
data:geometry:wing:kink:span_ratio;ratio (Y-position of kink)/(semi-span)
data:geometry:wing:sweep_25;sweep angle at 25% chord of wing
data:geometry:wing:virtual_taper_ratio;taper ratio of wing computed from virtual root chord
data:propulsion:MTO_thrust;maximum thrust of one engine at sea level
