,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],name
0,0.0,0.0,0.0,75253.80850329818,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
1,60.0,0.0,0.0,75222.74759406903,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
2,120.0,0.0,0.0,75191.6866848399,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
3,180.0,0.0,0.0,75160.62577561075,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
4,240.0,0.0,0.0,75129.56486638161,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
5,300.0,0.0,0.0,75098.50395715247,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
6,360.0,0.0,0.0,75067.44304792333,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
7,420.0,0.0,0.0,75036.38213869419,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
8,480.0,0.0,0.0,75005.32122946504,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
9,540.0,0.0,0.0,74974.2603202359,0.0,0.0,0.0,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:taxi_out
10,540.0,10.668000000000001,0.0,74891.86032023591,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:takeoff
11,540.0,10.668000000000001,0.0,74891.86032023591,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,sizing:takeoff
12,540.0,10668.0,250000.0,73094.45567255025,231.298488095132,128.75566260656646,0.78,2,0.557034329684407,0.03365159515408709,43304.07896954576,53068.90891708,0.25,True,9.75489850930377e-06,0.0,0.0,sizing:main_route:climb
13,20397.45794460585,10668.0,4843000.0,59969.59339037738,231.298488095132,128.75566260656646,0.78,3,0.4570130791493151,0.02867012171817915,36893.740378893475,36893.740378893475,0.6554912592109025,True,1.6978084200239025e-05,0.0,0.0,sizing:main_route:cruise
14,20397.45794460585,0.0,5093000.0,59070.04948952171,0.0,0.0,0.0,3,0.4570130791493151,0.02867012171817915,36893.740378893475,36893.740378893475,0.6554912592109025,True,1.6978084200239025e-05,0.0,0.0,sizing:main_route:descent
15,20397.45794460585,0.0,5093000.0,59070.04948952171,0.0,0.0,0.0,3,0.4570130791493151,0.02867012171817915,36893.740378893475,36893.740378893475,0.6554912592109025,True,1.6978084200239025e-05,0.0,0.0,sizing:global_reserve
16,20397.45794460585,0.0,5093000.0,55726.461782567654,0.0,0.0,0.0,3,0.4570130791493151,0.02867012171817915,36893.740378893475,36893.740378893475,0.6554912592109025,True,1.6978084200239025e-05,0.0,0.0,sizing:global_reserve
