,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
0,0.0,0.0,0.0,95481.94112114687,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
1,60.0,0.0,0.0,95446.30208632663,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
2,120.0,0.0,0.0,95410.66305150639,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
3,180.0,0.0,0.0,95375.02401668615,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
4,240.0,0.0,0.0,95339.38498186591,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
5,300.0,0.0,0.0,95303.74594704567,0.0,0.0,0.0,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:taxi_out
6,300.0,10.668000000000001,0.0,95221.34594704567,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:takeoff
7,300.0,10.668000000000001,0.0,95221.34594704567,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,,0.0,63502.78413057599,0.3,False,9.353667273066347e-06,0.0,0.0,0.0,,sizing:takeoff
8,300.0,10668.0,250000.0,92364.7055686343,222.40239239916536,123.80352173708312,0.75,2,0.6748197889444318,0.04241814406060664,,56936.47536462539,63502.78413057599,0.3,True,9.353667273066347e-06,0.0,0.0,0.0,,sizing:main_route:climb
9,23033.56840031445,10668.0,5306000.0,74201.02805041292,222.40239239916536,123.80352173708312,0.75,3,0.542115321866444,0.0321339368547486,,43132.323316284564,43132.323316284564,0.7873285393779805,True,1.6338180605684032e-05,0.0,0.0,0.0,,sizing:main_route:cruise
10,23033.56840031445,0.0,5556000.0,72717.00748940466,0.0,0.0,0.0,3,0.542115321866444,0.0321339368547486,,43132.323316284564,43132.323316284564,0.7873285393779805,True,1.6338180605684032e-05,0.0,0.0,0.0,,sizing:main_route:descent
11,23033.56840031445,0.0,5556000.0,72717.00748940466,0.0,0.0,0.0,3,0.542115321866444,0.0321339368547486,,43132.323316284564,43132.323316284564,0.7873285393779805,True,1.6338180605684032e-05,0.0,0.0,0.0,,sizing:global_reserve
12,23033.56840031445,0.0,5556000.0,68600.95046170251,0.0,0.0,0.0,3,0.542115321866444,0.0321339368547486,,43132.323316284564,43132.323316284564,0.7873285393779805,True,1.6338180605684032e-05,0.0,0.0,0.0,,sizing:global_reserve
